# format=rl-suite-semantic-map-v1
# revision=1.12.13
# input.sha256=a0eeaa3968819fdde8bb13988a99b7a6152539da35955da3860576b4c39b7859
# source=devious-annotations
# source.sha256=68fa234b5709c52a7d589d59e53223c08ca764aac3ffe71fb9fda40f31e0c2c8
# source.commit=3c01c4f5a68e2e013f47ea8bb8b66e364494ebee
field	bi	aw	I	minimapState
field	bj	au	[[[S	Tiles_underlays
field	bl	ae	I	y
field	bl	ag	I	plane
field	bl	aj	I	z
field	bl	ak	I	id
field	bl	an	I	x
field	bl	at	I	cycleStart
field	bl	av	Ldd;	worldView
field	bl	aw	Lsj;	animationSequence
field	bl	lu	I	cameraPitch
field	bm	aa	Laq;	keyHandler
field	bm	ac	[J	graphicsTickTimes
field	bm	ag	I	cycleDurationMillis
field	bm	ai	I	fiveOrOne
field	bm	ak	Lxf;	rasterProvider
field	bm	an	I	fps
field	bm	ao	Z	volatileFocus
field	bm	ap	Lbm;	gameEngine
field	bm	at	Lic;	taskHandler
field	bm	au	J	stopTimeMs
field	bm	ax	[J	clientTickTimes
field	bm	ay	I	GameEngine_redundantStartThreadCount
field	bm	az	Z	isKilled
field	bm	ba	I	maxCanvasHeight
field	bm	bb	Z	hasErrored
field	bm	be	J	garbageCollectorLastCollectionTime
field	bm	bf	Z	resizeCanvasNextFrame
field	bm	bg	Ljava/awt/EventQueue;	eventQueue
field	bm	bh	Ljava/awt/datatransfer/Clipboard;	clipboard
field	bm	bi	Ljava/awt/Frame;	frame
field	bm	bj	I	canvasX
field	bm	bm	I	canvasY
field	bm	bn	Z	isCanvasInvalid
field	bm	bo	J	garbageCollectorLastCheckTimeMs
field	bm	br	Laf;	mouseWheelHandler
field	bm	bs	I	contentWidth
field	bm	bu	I	maxCanvasWidth
field	bm	bw	Z	fullRedraw
field	bm	by	Ljava/awt/Canvas;	canvas
field	bm	bz	I	contentHeight
field	bn	ab	I	index
field	bn	ac	I	location
field	bn	ad	I	population
field	bn	ae	[Lbn;	World_worlds
field	bn	ai	Ljava/lang/String;	host
field	bn	aj	I	World_count
field	bn	ak	I	World_listCount
field	bn	ap	[I	World_sortOption1
field	bn	as	Ljava/lang/String;	activity
field	bn	au	I	id
field	bn	aw	[I	World_sortOption2
field	bn	az	I	properties
field	bn	cc	Lxm;	titlebuttonSprite
field	bo	dh	[I	KeyHandler_keyCodes
field	bp	ab	J	MouseHandler_lastMovedVolatile
field	bp	ac	I	MouseHandler_yVolatile
field	bp	ad	I	MouseHandler_idleCycles
field	bp	ae	I	MouseHandler_x
field	bp	ah	I	MouseHandler_lastPressedYVolatile
field	bp	ai	I	MouseHandler_currentButtonVolatile
field	bp	aj	I	MouseHandler_y
field	bp	ak	J	MouseHandler_millis
field	bp	al	J	MouseHandler_lastPressedTimeMillisVolatile
field	bp	an	I	MouseHandler_currentButton
field	bp	ap	I	MouseHandler_lastPressedX
field	bp	ar	I	MouseHandler_lastPressedXVolatile
field	bp	as	I	MouseHandler_xVolatile
field	bp	au	J	MouseHandler_lastPressedTimeMillis
field	bp	aw	I	MouseHandler_lastButton
field	bp	ax	I	MouseHandler_lastButtonVolatile
field	bp	ay	I	MouseHandler_lastPressedY
field	bp	az	Lbp;	MouseHandler_instance
field	bq	ae	I	itemId
field	bq	ag	I	opcode
field	bq	aj	I	worldViewId
field	bq	ak	Ljava/lang/String;	action
field	bq	an	I	identifier
field	bq	at	I	param1
field	bq	av	I	param0
